buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason,droppedModes,regime,isMainLine,isBigCap,adaptiveActive,adaptiveReason,holdDays,exitKind
2025-07-09,2025-07-11,002520.XSHE,日发精机,接力低弱转1,9.36857562408222,777.7,0.0,37.11,1.04,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+2.57% / 10d avg=+2.25% (阈值 -6%/-4%),2,max_dd_stop
2025-07-09,2025-07-11,600148.XSHG,长春一东,接力低弱转1,4.938416422287384,327.09,0.0,63.08,4.88,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+2.57% / 10d avg=+2.25% (阈值 -6%/-4%),2,max_dd_stop
2025-07-11,2025-07-14,301378.XSHE,通达海,首红断低吸,-2.000000000000013,122.48,22.06,0.0,-2.97,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=-2.22% / 10d avg=-2.27% (阈值 -7%/-4%),1,max_dd_stop
2025-07-14,2025-07-15,000892.XSHE,欢瑞世纪,方向内绿盘低吸前3名,-2.000000000000013,361.21,91.03,0.0,-1.7,方向内低吸排名1 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口确认: 5d avg=-8.59%≤-6% AND 10d avg=-7.83%≤-4% (n=2/3),1,max_dd_stop
2025-07-15,2025-07-16,603856.XSHG,东宏股份,绿断低吸,-2.0000000000000018,192.06,3.94,0.0,-0.73,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier2 10d 单窗口正向 (avg=+0.09% > -2%),1,max_dd_stop
2025-07-15,2025-07-17,002912.XSHE,中新赛克,首红断低吸,2.09885931558933,445.71,142.6,0.0,-3.87,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=-3.27% / 10d avg=-2.46% (阈值 -4%/-2%),2,max_dd_stop
2025-07-15,2025-07-16,605122.XSHG,四方新材,方向内绿盘低吸前3名,-2.0000000000000018,445.15,324.34,0.0,-8.13,方向内低吸排名1 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口未一致: 5d avg=-7.29% / 10d avg=-7.70% (阈值 -9%/-6%),1,max_dd_stop
2025-07-16,2025-07-17,603778.XSHG,国晟科技,方向内绿盘低吸前3名,-2.0000000000000018,216.71,62.22,0.0,-4.86,方向内低吸排名3 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口确认: 5d avg=-7.63%≤-5% AND 10d avg=-7.75%≤-3% (n=2/5),1,max_dd_stop
2025-07-18,2025-07-21,002951.XSHE,金时科技,绿断低吸,-2.000000000000013,156.81,3.63,0.0,-1.04,绿断 + 低吸有分 + 竞王达标,,,False,False,False,Tier2 5d 单窗口保守: avg=-8.07%≤-4% n=1 (10d n<2),1,max_dd_stop
2025-07-18,2025-07-21,002082.XSHE,万邦德,方向内绿盘低吸前3名,-2.0000000000000018,182.56,22.97,0.0,-2.96,方向内低吸排名1 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口确认: 5d avg=-8.06%≤-7% AND 10d avg=-7.95%≤-4% (n=3/6),1,max_dd_stop
