date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-17,980371.ZHBK,81.36,-50.08,-50.08,2,1,0,0
2024-10-17,980362.ZHBK,78.9,-243.01,-22.09,2,1,0,0
2024-10-17,980355.ZHBK,77.81,-248.27,-22.24,2,0,0,0
2024-10-17,980345.ZHBK,77.29,-84.32,-3.51,2,0,0,0
2024-10-17,980374.ZHBK,74.48,-45.83,11.46,2,0,0,0
2024-10-17,980335.ZHBK,68.49,-136.97,0.0,2,1,0,0
2024-10-17,980351.ZHBK,67.71,-67.71,0.0,2,1,0,0
2024-10-17,980336.ZHBK,65.33,-304.89,-34.85,2,1,0,0
2024-10-17,980750.ZHBK,61.14,-389.07,-38.91,2,1,0,0
2024-10-17,980475.ZHBK,42.97,-85.94,-14.32,2,1,0,0
2024-10-17,980348.ZHBK,31.92,-319.2,-53.2,2,0,0,0
2024-10-17,980379.ZHBK,0.0,-727.07,0.0,2,1,0,0
2024-10-16,980358.ZHBK,154.28,58.52,5.32,2,1,0,0
2024-10-16,980476.ZHBK,74.48,31.92,-37.24,2,1,0,0
2024-10-16,980750.ZHBK,61.14,11.12,5.56,2,1,0,0
2024-10-16,980338.ZHBK,46.07,-80.62,-26.87,2,1,0,0
2024-10-16,980336.ZHBK,43.56,-4.35,4.36,2,1,0,0
2024-10-16,980368.ZHBK,40.04,-88.1,-0.0,2,1,0,0
2024-10-16,980362.ZHBK,37.87,-9.47,-12.62,2,1,0,0
2024-10-16,980756.ZHBK,37.24,-7.45,-22.34,2,1,0,0
2024-10-16,980346.ZHBK,33.1,-16.55,-24.83,2,1,0,0
2024-10-16,980364.ZHBK,26.55,-27.95,-9.78,2,1,0,0
2024-10-16,980335.ZHBK,25.68,8.56,-8.56,2,1,0,0
2024-10-16,980365.ZHBK,24.59,-46.85,-15.23,2,1,0,0
2024-10-16,980477.ZHBK,22.57,-22.57,-22.57,2,1,0,0
2024-10-16,980376.ZHBK,19.99,-49.99,-25.0,2,0,0,0
2024-10-16,980363.ZHBK,19.86,-158.89,-34.76,2,1,0,0
2024-10-16,980352.ZHBK,16.93,-135.42,-50.78,2,1,0,0
2024-10-16,980357.ZHBK,16.71,-72.39,-9.74,2,0,0,0
2024-10-16,980378.ZHBK,16.39,-25.32,-16.38,2,1,0,0
2024-10-16,980753.ZHBK,12.18,-116.59,-6.96,2,0,0,0
2024-10-16,980373.ZHBK,11.17,-78.21,-11.17,2,1,0,0
2024-10-16,980355.ZHBK,11.12,-118.57,-11.11,2,0,0,0
2024-10-16,980474.ZHBK,10.85,-48.81,-10.84,2,1,0,0
2024-10-16,980353.ZHBK,10.64,-95.76,-10.64,2,0,0,0
2024-10-16,980360.ZHBK,7.52,-37.62,-15.05,2,1,0,0
2024-10-16,980371.ZHBK,6.26,-62.59,-12.52,2,1,0,0
2024-10-16,980343.ZHBK,6.06,-72.66,-18.16,2,0,0,0
2024-10-16,980366.ZHBK,5.96,-107.25,-11.92,2,0,0,0
2024-10-16,980341.ZHBK,5.64,-16.93,-0.0,2,1,0,0
2024-10-16,980339.ZHBK,5.36,-37.51,-10.71,2,1,0,0
2024-10-16,980372.ZHBK,5.05,-45.44,-17.67,2,1,0,0
2024-10-16,980345.ZHBK,3.51,-84.32,-21.08,2,0,0,0
2024-10-16,980379.ZHBK,0.0,-17.73,0.0,2,1,0,0
2024-10-16,980351.ZHBK,0.0,0.0,0.0,2,1,0,0
2024-10-16,980374.ZHBK,0.0,-143.23,-11.46,2,0,0,0
2024-10-16,980340.ZHBK,0.0,0.0,0.0,2,0,0,0
2024-10-16,980348.ZHBK,0.0,-85.12,-21.28,2,0,0,0
2024-10-16,980473.ZHBK,0.0,-25.68,-17.12,2,1,0,0
2024-10-16,980475.ZHBK,0.0,-14.32,-28.65,2,1,0,0
2024-10-15,980338.ZHBK,69.11,-587.39,-26.87,2,1,0,0
2024-10-15,980352.ZHBK,67.71,-490.89,-16.93,2,1,0,0
2024-10-15,980340.ZHBK,62.07,-620.66,0.0,2,0,0,0
2024-10-15,980366.ZHBK,51.64,-635.56,-45.68,2,0,0,0
2024-10-15,980368.ZHBK,48.05,-608.66,-40.04,2,1,0,0
2024-10-15,980357.ZHBK,45.94,-632.04,-37.59,2,0,0,0
2024-10-15,980753.ZHBK,45.24,-640.39,-48.73,2,0,0,0
2024-10-15,980376.ZHBK,44.99,-599.84,-29.99,2,0,0,0
2024-10-15,980750.ZHBK,44.47,-483.56,0.0,2,1,0,0
2024-10-15,980358.ZHBK,42.56,-532.0,-5.32,2,1,0,0
2024-10-15,980343.ZHBK,36.33,-575.25,-30.28,2,0,0,0
2024-10-15,980336.ZHBK,34.84,-426.85,-0.0,2,1,0,0
2024-10-15,980473.ZHBK,34.24,-453.73,8.56,2,1,0,0
2024-10-15,980371.ZHBK,31.29,-550.78,-37.56,2,1,0,0
2024-10-15,980373.ZHBK,29.79,-547.43,-26.07,2,1,0,0
2024-10-15,980355.ZHBK,25.94,-578.05,-29.64,2,0,0,0
2024-10-15,980365.ZHBK,25.76,-635.89,-39.82,2,1,0,0
2024-10-15,980372.ZHBK,25.25,-532.72,-25.24,2,1,0,0
2024-10-15,980362.ZHBK,25.25,-539.66,-15.78,2,1,0,0
2024-10-15,980364.ZHBK,23.76,-568.73,-29.34,2,1,0,0
2024-10-15,980360.ZHBK,22.57,-346.07,-7.52,2,1,0,0
2024-10-15,980339.ZHBK,21.43,-525.11,-21.44,2,1,0,0
2024-10-15,980353.ZHBK,21.28,-510.72,-31.92,2,0,0,0
2024-10-15,980378.ZHBK,20.85,-452.84,-28.31,2,1,0,0
2024-10-15,980363.ZHBK,19.86,-695.15,-34.76,2,1,0,0
2024-10-15,980374.ZHBK,17.19,-395.31,-5.73,2,0,0,0
2024-10-15,980474.ZHBK,16.27,-592.95,-25.31,2,1,0,0
2024-10-15,980476.ZHBK,15.96,-675.64,-31.92,2,1,0,0
2024-10-15,980345.ZHBK,14.05,-442.67,-14.06,2,0,0,0
2024-10-15,980341.ZHBK,11.28,-473.97,-5.65,2,1,0,0
2024-10-15,980348.ZHBK,10.64,-606.48,-31.92,2,0,0,0
2024-10-15,980335.ZHBK,8.56,-522.22,-8.56,2,1,0,0
2024-10-15,980346.ZHBK,8.28,-595.84,-33.1,2,1,0,0
2024-10-15,980756.ZHBK,7.45,-610.73,-37.24,2,1,0,0
2024-10-15,980379.ZHBK,0.0,-744.8,0.0,2,1,0,0
2024-10-15,980351.ZHBK,0.0,-270.84,0.0,2,1,0,0
2024-10-15,980477.ZHBK,0.0,-541.67,-90.28,2,1,0,0
2024-10-15,980475.ZHBK,0.0,-444.02,-28.65,2,1,0,0
2024-10-14,980379.ZHBK,638.4,602.93,212.8,2,1,0,0
2024-10-14,980358.ZHBK,532.0,399.0,90.44,2,1,0,0
2024-10-14,980476.ZHBK,478.8,452.2,148.96,2,1,0,0
2024-10-14,980346.ZHBK,438.6,413.77,66.2,2,1,0,0
2024-10-14,980756.ZHBK,431.98,409.64,74.48,2,1,0,0
2024-10-14,980363.ZHBK,422.05,417.08,148.96,2,1,0,0
2024-10-14,980341.ZHBK,400.61,310.33,107.2,2,1,0,0
2024-10-14,980338.ZHBK,376.24,337.85,111.34,2,1,0,0
2024-10-14,980368.ZHBK,344.37,272.29,104.11,2,1,0,0
2024-10-14,980360.ZHBK,315.98,188.09,82.76,2,1,0,0
2024-10-14,980352.ZHBK,304.69,236.98,33.85,2,1,0,0
2024-10-14,980362.ZHBK,280.88,246.16,78.9,2,1,0,0
2024-10-14,980343.ZHBK,242.21,236.15,72.66,2,0,0,0
2024-10-14,980477.ZHBK,225.7,135.42,22.57,2,1,0,0
2024-10-14,980753.ZHBK,215.78,139.21,43.5,2,0,0,0
2024-10-14,980366.ZHBK,214.5,135.05,47.66,2,0,0,0
2024-10-14,980365.ZHBK,196.74,168.63,23.42,2,1,0,0
2024-10-14,980364.ZHBK,184.45,150.91,34.93,2,1,0,0
2024-10-14,980750.ZHBK,177.86,127.84,44.46,2,1,0,0
2024-10-14,980353.ZHBK,170.24,117.04,42.56,2,0,0,0
2024-10-14,980376.ZHBK,169.95,99.97,39.98,2,0,0,0
2024-10-14,980474.ZHBK,166.31,141.0,9.03,2,1,0,0
2024-10-14,980339.ZHBK,155.39,91.09,32.15,2,1,0,0
2024-10-14,980357.ZHBK,154.53,123.9,8.35,2,0,0,0
